Number,Name
644,"Burk, Michael"
645,"Burkart, Erika"
646,"Burkhardt, Werner"
647,"Burmeister, Brigitte"
648,"Burnicki, Ralf"
649,"Burry, Brunhilde"
650,"Burstein, Martin"
651,"Busch-Schumann, Ruthild"
652,"Busch, Andrea C."
653,"Busch, Gertrud"
654,"Busch, Oskar"
655,"Busch, Petra"
656,"Busch, Wilhelm"
657,"Büscher, Tobias"
658,"Büscher, Wolfgang"
659,"Buschinger, Danielle"
660,"Buschmann, Michael"
661,"Buslau, Oliver"
662,Buson
663,"Bussink, Gerrit"
664,"Bußmann, Nina"
665,"Busta, Christine"
666,"Butschkow, Ralf"
667,"Buttlar, Johannes von"
668,"Byrne, Kerrigan"
669,"Č'k'vanava, Gela"
670,"Caballero, Francisco de A."
671,"Cactus, Françoise"
672,"Cain Külbel, Jürgen"
673,"Çakır, Seher"
674,"Calonego, Bernadette"
675,"Camartin, Iso"
676,"Camenisch, Arno"
677,"Campbell, Paul-Henri"
678,"Camping, Lars"
679,"Campos, Geir"
680,"Can, Safiye"
681,"Canal, Anne von"
682,"Canetti, Elias"
683,"Canetti, Veza"
684,"Canitz, Friedrich von"
685,"Cantieni, Monica"
686,"Cao, Hélène"
687,"Capitani, Sabrina"
688,"Caprez, Andrea"
689,"Capus, Alex"
690,"Car, Milka"
691,"Caradec, Odile"
692,"Cardullo, Bert"
693,"Carels, Maeve"
694,"Cargnello, Danilo"
695,"Carl, Peter"
696,"Carlotto, Massimo"
697,"Carossa, Hans"
698,"Carové, Friedrich Wilhelm"
699,"Carr, Robyn"
700,"Carroll, Phyllis"
701,"Carstens, Carola"
702,"Carus, Roman"
703,"Case, Sue-Ellen"
704,"Casey, June"
705,"Caspari, Sofia"
706,"Caspary, Kim"
707,"Částek, Miroslav"
708,"Cavazzini, Christiane"
709,"Cavelius, Alexandra"
710,"Cavelty, Gion Mathias"
711,"Cazelles, Nicolas"
712,"Cazon, Christine"
713,"Cejpek, Lucas"
714,"Celan, Paul"
715,"Celan, Paul, 1920-1970"
716,"Cemal, Ahmet"
717,"Čepurov, Aleksandr A."
718,"Čermák, Josef"
719,"Černova, I. M."
720,"Cesa, Claudio"
721,"Cesaro, Ingo"
722,"Četrauskas, Teodoras"
723,"Ch'ae, Un-jŏng"
724,"Chadžieva, Despina"
725,"Chafes, Rui"
726,"Chagall, Marc"
727,"Chaimowicz, Sascha"
728,"Challis, Sarah"
729,"Chalmers, Martin"
730,"Chamier, Peter de"
731,"Chamisso, Adelbert von"
732,"Chandler, Raymond"
733,"Chaplet, Anne"
734,"Chargaff, Erwin"
735,"Charms, Daniil"
736,"Charon, Daria"
737,"Chatzētzanu-Baltcharnt, Elenē"
738,"Chatzopulos, Kōnstantinos"
739,"Chen, Chao-Hsiu"
740,"Chen, Wei"
741,"Chiarloni, Anna"
742,"Chidgey, Catherine"
743,"Chobot, Manfred"
744,"Cholodkovskij, Nikolaj A."
745,"Chomley, Antje"
746,"Christ, Eva"
747,"Christiansen-Simons, Momme"
748,"Christie, Agatha"
749,"Christophe, Henri"
750,"Christophersen, Jan"
751,"Chromik, Resi"
752,"Chu, Kyŏng-sik"
753,"Chwylla, Béa"
754,"Ciani, Maria Grazia"
755,"Čilić Škeljo, Đurđica"
756,"Citavičiūtė, Liucija"
757,"Clary-Aldringen, Alfons"
758,"Claßen, Andrea"
759,"Clausen, Murmel"
760,"Clément, Frédéric"
761,"Clements, Rory"
762,"Closs, Hannah Priebsch"
763,"Coester, Otto"
764,"Cohen, William S."
765,"Cohn, Hans W."
766,"Cohn, Leah"
767,"Coler, Hannah"
768,"Collée, Miriam"
769,"Collins, Wilkie"
770,"Collodi, Carlo Begründer des Werks"
771,"Colombo, Angela"
772,Conrad &lt
773,"Conrad, Joseph"
774,"Conrad, Julia"
775,"Conrad, Kai-Uwe"
776,"Conrad, Michael"
777,"Conradi, Hermann"
778,"Conrady, Karl Otto"
779,"Constantine, Helen"
780,"Cookson, Catherine"
781,"Corbi, Inez"
782,"Cordes-Vollert, Doris"
783,"Cordonnier, Marie"
784,"Cordonnierová, Marie"
785,"Cormann, Marte"
786,"Cornish, Matt"
787,"Cortés, Helena"
788,"Cott, Georg Oswald"
789,"Cotten, Ann"
790,"Cotton, Jerry"
791,"Courant, Maria"
792,"Courths-Mahler, Hedwig"
793,"Coutellier, Philippe"
794,"Cramer von Clausbruch, Adelheid"
795,"Cramer, Doris"
796,"Cramer, Sofie"
797,"Crauer, Pil"
798,"Cremer, Drutmar"
799,"Cremer, Marcel"
800,"Cristen, Gabriele Marie"
801,"Cristen, Marie"
802,"Cristenová, Gabriele Marie"
803,"Cristenová, Marie"
804,"Cronenburg, Petra van"
805,Crow
806,"Crown, Jonathan"
807,"Crüwell, G. A."
808,"Csokor, Franz Theodor"
809,"Csősz, Róbert"
810,"Cueni, Claude"
811,"Cullen, July"
812,"Cumart, Nevfel"
813,"Currey, Mason"
814,"Cvetković, Nikola B."
815,"Cyran, Eberhard"
816,"Czarnecka, Zuzanna"
817,"Czechowski, Heinz"
818,"Czernin, Franz Josef"
819,"Czernin, Monika"
820,"Cziráki, Zsuzsa"
821,"Czurda, Elfriede"
822,"D'Arcangelo, Lucio"
823,"D'Erceville, Danielė"
824,"Dahl, Sverre"
825,"Dahlem, Anka"
826,"Dahlke, Paul"
827,"Dahlke, Rüdiger"
828,"Dahn, Felix"
829,"Daive, Jean"
830,"Dal Poggetto, Manuela"
831,"Dalos, György"
832,"Daly, Leo"
833,"Damshäuser, Berthold"
834,"Danella, Utta"
835,"Däniken, Erich von"
836,"Dānišwar, Sīmīn"
837,"Danius, Sara"
838,"Dannhorn, Joung-Ja"
839,"Danţiş, Gabriela"
840,"Dark, Jason"
841,"Darlton, Clark"
842,"Darlton, Clark, 1920-"
843,"Dath, Dietmar"
844,"Däubler, Theodor"
845,"Daum, Fritz"
846,"Daumann, Rudolf"
847,"Davi, Hans Leopold"
848,"David, Claude"
849,"David, Ernst"
850,"Davydova, B."
851,"De Cesco, Federica"
852,"De Lombaert, Anja"
853,"De Man, Paul"
854,"Dean, Martin R."
855,"Debord, Didier"
856,"Decar, Michel"
857,"Decker, Kerstin"
858,"Dedecius, Karl"
859,"Degenhardt, Franz Josef"
860,"Degens, Marc"
861,"Dehe, Astrid"
862,"Dehnerdt, Eleonore"
863,"Deighton, Len"
864,"Deitmer, Sabine"
865,"Del Monego, Markus"
866,"Delblanc, Aimée"
867,"Delius, Friedrich Christian"
868,"Dell'Aira, Robbie"
869,"Delle Grazie, Marie Eugenie"
870,"Demetz, Hanna"
871,"Demirkan, Renan"
872,"Demirtel, Eevie"
873,"Dempf, Peter"
874,"Demski, Eva"
875,"Demus, Klaus"
876,"Demuth, Volker"
877,"Denić, Bojana"
878,"Denk, Felix"
879,"Denk, Victor Martin Otto"
880,"Deor, Inga"
881,"Deprez, Olivier"
882,"Deprijck, Lucien"
883,Der Stricker
884,"Derleth, Ludwig"
885,"Dernovšek, Jure"
886,"Déry, Tibor"
887,"Deshusses, Pierre"
888,"Dettmann, Lutz"
889,"Dettwiler, Monika"
890,"Deus, Van"
891,Deutsch-Polnische Gesellschaft &lt
892,"Deutsch, Gitta"
893,"Di Fulvio, Luca"
894,"Diana, Pietro"
895,"DiCarmen, Sonju"
896,"Dick, Philip K."
897,"Dick, Uwe"
898,"Dickow, Barbara"
899,"Diebels, Birgit"
900,"Dieckmann, Dorothea"
901,"Dieckmann, Guido"
902,"Diehl, Andreas"
903,"Diehl, Sarah"
904,"Dietl, Helmut"
905,"Dietmann, Ulrike"
906,"Dietrich, William"
907,"Dietz, Friedrich"
908,"Dillner, Timo"
909,"Dinev, Dimitré"
910,"Dirks, Liane"
911,"Dische, Irene"
912,"Discher, Christian"
913,"Dischereit, Esther"
914,"Ditfurth, Christian von"
915,"Ditfurth, Jutta"
916,"Dittrich, Sabine"
917,"Dobbers, Jens"
918,"Dobelli, Rolf"
919,"Döblin, Alfred"
920,"Döbrich, Annette"
921,"Dobrynin, Aleksandr P."
922,"Doderer, Heimito von"
923,"Dodgson, Elyse"
924,"Doehn, Uwe Georg"
925,"Doehnert, Rodica"
926,"Doelman, Elke"
927,"Dohm, Hedwig"
928,"Doll, Georgia"
929,"Doll, Stern van"
930,"Doma, Akos"
931,"Domašcyna, Róža"
932,"Domin, Hilde"
933,"Donhauser, Michael"
934,"Dönhoff, Tatjana"
935,"Doppagne, Brigitte"
936,"Dor, Milo"
937,"Doran, Chiara"
938,"Đorđević, Miloš"
939,"Dorfer, Marianne"
940,"Dorian, Ada"
941,"Döring, Dieter"
942,"Dorn, Anne"
943,"Dorn, Thea"
944,"Dorn, Wulf"
945,"Dorňák, Petr"
946,"Dornbrach, ʿAbdullâh H."
947,"Dörrie, Doris"
948,"Dorst, Tankred"
949,"Döry, Ruth"
950,"Dostojewskij, Fjodor M."
951,"Dotzler, Arsenius"
952,"Doubek, Katja"
953,"Douglas, James"
954,"Doyle, Arthur Conan"
955,"Doyle, Virginia"
956,"Dózsai, Mónika"
957,"Drach, Albert"
958,"Draesner, Ulrike"
959,"Dragnić, Nataša"
960,"Dragojević, Dunja"
961,"Drawert, Kurt"
962,"Dražić, Relja"
963,"Dreer, Mirjam"
964,"Dreichlinger, Vera"
965,"Dreiske, Hans-Herbert"
